GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMAE001,NAME_M,JMAM001
G250005002690,2006-2010,,,Massachusetts,25,Bristol County,5,Attleboro city,2690,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attleboro city, Bristol County, Massachusetts",43355,"Attleboro city, Bristol County, Massachusetts",36
G250005005280,2006-2010,,,Massachusetts,25,Bristol County,5,Berkley town,5280,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkley town, Bristol County, Massachusetts",6306,"Berkley town, Bristol County, Massachusetts",43
G250005016425,2006-2010,,,Massachusetts,25,Bristol County,5,Dartmouth town,16425,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dartmouth town, Bristol County, Massachusetts",33517,"Dartmouth town, Bristol County, Massachusetts",26
G250005016950,2006-2010,,,Massachusetts,25,Bristol County,5,Dighton town,16950,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dighton town, Bristol County, Massachusetts",6923,"Dighton town, Bristol County, Massachusetts",15
G250005020100,2006-2010,,,Massachusetts,25,Bristol County,5,Easton town,20100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Easton town, Bristol County, Massachusetts",23016,"Easton town, Bristol County, Massachusetts",24
G250005022130,2006-2010,,,Massachusetts,25,Bristol County,5,Fairhaven town,22130,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairhaven town, Bristol County, Massachusetts",15934,"Fairhaven town, Bristol County, Massachusetts",23
G250005023000,2006-2010,,,Massachusetts,25,Bristol County,5,Fall River city,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fall River city, Bristol County, Massachusetts",89482,"Fall River city, Bristol County, Massachusetts",48
G250005025240,2006-2010,,,Massachusetts,25,Bristol County,5,Freetown town,25240,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freetown town, Bristol County, Massachusetts",8796,"Freetown town, Bristol County, Massachusetts",44
G250005038225,2006-2010,,,Massachusetts,25,Bristol County,5,Mansfield town,38225,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mansfield town, Bristol County, Massachusetts",23051,"Mansfield town, Bristol County, Massachusetts",53
G250005045000,2006-2010,,,Massachusetts,25,Bristol County,5,New Bedford city,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Bedford city, Bristol County, Massachusetts",94945,"New Bedford city, Bristol County, Massachusetts",42
G250005046575,2006-2010,,,Massachusetts,25,Bristol County,5,North Attleborough town,46575,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Attleborough town, Bristol County, Massachusetts",28483,"North Attleborough town, Bristol County, Massachusetts",37
G250005049970,2006-2010,,,Massachusetts,25,Bristol County,5,Norton town,49970,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norton town, Bristol County, Massachusetts",18880,"Norton town, Bristol County, Massachusetts",55
G250005056060,2006-2010,,,Massachusetts,25,Bristol County,5,Raynham town,56060,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raynham town, Bristol County, Massachusetts",13085,"Raynham town, Bristol County, Massachusetts",25
G250005056375,2006-2010,,,Massachusetts,25,Bristol County,5,Rehoboth town,56375,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rehoboth town, Bristol County, Massachusetts",11349,"Rehoboth town, Bristol County, Massachusetts",21
G250005060645,2006-2010,,,Massachusetts,25,Bristol County,5,Seekonk town,60645,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seekonk town, Bristol County, Massachusetts",13686,"Seekonk town, Bristol County, Massachusetts",24
G250005062430,2006-2010,,,Massachusetts,25,Bristol County,5,Somerset town,62430,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerset town, Bristol County, Massachusetts",18185,"Somerset town, Bristol County, Massachusetts",23
