GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELM,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RK9E001,NAME_M,RK9M001
G25002970,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Brewster School District,2970,,,,"Brewster School District, Massachusetts",10059,"Brewster School District, Massachusetts",22
G25003060,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Brimfield School District,3060,,,,"Brimfield School District, Massachusetts",3800,"Brimfield School District, Massachusetts",26
G25003120,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Brookfield School District,3120,,,,"Brookfield School District, Massachusetts",3409,"Brookfield School District, Massachusetts",19
G25003330,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Carlisle School District,3330,,,,"Carlisle School District, Massachusetts",4817,"Carlisle School District, Massachusetts",28
G25003720,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Clarksburg School District,3720,,,,"Clarksburg School District, Massachusetts",1893,"Clarksburg School District, Massachusetts",141
G25003840,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Concord School District,3840,,,,"Concord School District, Massachusetts",17566,"Concord School District, Massachusetts",43
G25003900,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Conway School District,3900,,,,"Conway School District, Massachusetts",1914,"Conway School District, Massachusetts",191
G25004080,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Deerfield School District,4080,,,,"Deerfield School District, Massachusetts",4724,"Deerfield School District, Massachusetts",14
G25004260,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Dover School District,4260,,,,"Dover School District, Massachusetts",5663,"Dover School District, Massachusetts",39
G25004530,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Eastham School District,4530,,,,"Eastham School District, Massachusetts",5488,"Eastham School District, Massachusetts",20
G25004650,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Oak Bluffs School District,4650,,,,"Oak Bluffs School District, Massachusetts",3835,"Oak Bluffs School District, Massachusetts",15
G25004710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Erving School District,4710,,,,"Erving School District, Massachusetts",1863,"Erving School District, Massachusetts",184
G25004920,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Florida School District,4920,,,,"Florida School District, Massachusetts",966,"Florida School District, Massachusetts",173
G25005040,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Freetown School District,5040,,,,"Freetown School District, Massachusetts",9013,"Freetown School District, Massachusetts",18
G25005430,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Granville School District,5430,,,,"Granville School District, Massachusetts",1659,"Granville School District, Massachusetts",157
G25005610,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Halifax School District,5610,,,,"Halifax School District, Massachusetts",7735,"Halifax School District, Massachusetts",23
G25005760,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Hancock School District,5760,,,,"Hancock School District, Massachusetts",738,"Hancock School District, Massachusetts",132
