GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELM,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RLAE001,RLAE002,RLAE003,RLAE004,RLAE005,RLAE006,RLAE007,RLAE008,RLAE009,RLAE010,NAME_M,RLAM001,RLAM002,RLAM003,RLAM004,RLAM005,RLAM006,RLAM007,RLAM008,RLAM009,RLAM010
G25006630,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Lanesborough School District,6630,,,,"Lanesborough School District, Massachusetts",3130,2983,46,0,67,0,34,0,0,0,"Lanesborough School District, Massachusetts",56,131,70,127,86,127,52,127,127,127
G25006810,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Leverett School District,6810,,,,"Leverett School District, Massachusetts",1914,1659,12,0,201,0,12,30,13,17,"Leverett School District, Massachusetts",283,163,18,127,263,127,13,27,20,20
G25006900,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Lincoln School District,6900,,,,"Lincoln School District, Massachusetts",8297,7129,220,0,471,0,161,316,0,316,"Lincoln School District, Massachusetts",21,341,242,127,158,127,148,205,127,205
G25007290,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Marion School District,7290,,,,"Marion School District, Massachusetts",5167,4790,0,23,107,0,99,148,127,21,"Marion School District, Massachusetts",20,165,127,39,111,127,73,90,85,33
G25007470,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Mattapoisett School District,7470,,,,"Mattapoisett School District, Massachusetts",6456,6383,51,0,0,0,14,8,0,8,"Mattapoisett School District, Massachusetts",18,63,67,127,127,127,23,14,127,14
G25007830,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Middleton School District,7830,,,,"Middleton School District, Massachusetts",8958,8037,97,22,251,0,487,64,0,64,"Middleton School District, Massachusetts",30,254,54,31,149,127,195,88,127,88
G25008220,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Nahant School District,8220,,,,"Nahant School District, Massachusetts",3602,3511,11,0,35,0,34,11,0,11,"Nahant School District, Massachusetts",20,82,20,127,61,127,31,19,127,19
G25008530,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,New Salem-Wendell School District,8530,,,,"New Salem-Wendell School District, Massachusetts",1808,1741,27,0,15,0,12,13,0,13,"New Salem-Wendell School District, Massachusetts",197,190,26,127,18,127,17,14,127,14
G25008640,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Norfolk School District,8640,,,,"Norfolk School District, Massachusetts",10968,9514,639,24,161,3,322,305,45,260,"Norfolk School District, Massachusetts",38,458,265,28,99,3,122,249,36,248
G25008880,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Northborough School District,8880,,,,"Northborough School District, Massachusetts",14732,13301,74,17,964,0,223,153,12,141,"Northborough School District, Massachusetts",22,231,54,19,166,127,144,77,19,76
G25009090,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Edgartown School District,9090,,,,"Edgartown School District, Massachusetts",4003,3939,0,0,11,0,0,53,0,53,"Edgartown School District, Massachusetts",23,94,127,127,19,127,127,71,127,71
G25009180,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Orange School District,9180,,,,"Orange School District, Massachusetts",7689,7452,59,14,14,0,20,130,51,79,"Orange School District, Massachusetts",26,111,43,20,28,127,24,97,58,77
G25009210,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Orleans School District,9210,,,,"Orleans School District, Massachusetts",6282,6165,0,0,80,0,37,0,0,0,"Orleans School District, Massachusetts",23,91,127,127,83,127,43,127,127,127
G25009390,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Pelham School District,9390,,,,"Pelham School District, Massachusetts",1343,1268,15,4,6,0,6,44,3,41,"Pelham School District, Massachusetts",93,90,13,6,6,127,6,32,5,31
G25009540,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Petersham School District,9540,,,,"Petersham School District, Massachusetts",1246,1193,4,0,32,0,0,17,0,17,"Petersham School District, Massachusetts",250,250,5,127,25,127,127,17,127,17
G25009690,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Plainville School District,9690,,,,"Plainville School District, Massachusetts",8167,7756,136,14,147,0,114,0,0,0,"Plainville School District, Massachusetts",34,199,110,23,112,127,125,127,127,127
G25009780,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Plympton School District,9780,,,,"Plympton School District, Massachusetts",2754,2708,0,0,0,0,13,33,14,19,"Plympton School District, Massachusetts",17,44,127,127,127,127,15,30,21,19
G25010080,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Richmond School District,10080,,,,"Richmond School District, Massachusetts",1838,1819,0,9,0,0,0,10,0,10,"Richmond School District, Massachusetts",158,158,127,14,127,127,127,11,127,11
G25010140,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Rochester School District,10140,,,,"Rochester School District, Massachusetts",5223,4884,158,0,91,0,49,41,29,12,"Rochester School District, Massachusetts",22,245,210,127,93,127,54,40,35,21
G25010230,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Rowe School District,10230,,,,"Rowe School District, Massachusetts",418,400,0,0,0,0,0,18,0,18,"Rowe School District, Massachusetts",55,51,127,127,127,127,127,19,127,19
G25010530,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Savoy School District,10530,,,,"Savoy School District, Massachusetts",763,753,0,0,0,0,0,10,10,0,"Savoy School District, Massachusetts",105,107,127,127,127,127,127,14,14,127
G25010710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Sherborn School District,10710,,,,"Sherborn School District, Massachusetts",4230,3988,0,0,215,0,11,16,16,0,"Sherborn School District, Massachusetts",17,176,127,127,166,127,19,25,25,127
G25010740,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Shirley School District,10740,,,,"Shirley School District, Massachusetts",7848,6682,554,22,133,0,191,266,0,266,"Shirley School District, Massachusetts",36,266,173,27,85,127,110,176,127,176
G25010800,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Shutesbury School District,10800,,,,"Shutesbury School District, Massachusetts",1935,1831,6,0,21,0,5,72,0,72,"Shutesbury School District, Massachusetts",174,178,8,127,20,127,8,62,127,62
G25010950,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Southampton School District,10950,,,,"Southampton School District, Massachusetts",5835,5823,0,0,0,0,12,0,0,0,"Southampton School District, Massachusetts",18,28,127,127,127,127,20,127,127,127
G25010980,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Southborough School District,10980,,,,"Southborough School District, Massachusetts",9681,8527,86,0,864,0,92,112,10,102,"Southborough School District, Massachusetts",26,310,85,127,277,127,83,86,15,85
G25011310,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Sturbridge School District,11310,,,,"Sturbridge School District, Massachusetts",8826,8372,0,0,298,0,0,156,9,147,"Sturbridge School District, Massachusetts",45,239,127,127,188,127,127,132,15,132
G25011340,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Sudbury School District,11340,,,,"Sudbury School District, Massachusetts",17244,15714,139,0,986,0,168,237,21,216,"Sudbury School District, Massachusetts",28,243,105,127,194,127,141,124,25,127
G25011370,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Sunderland School District,11370,,,,"Sunderland School District, Massachusetts",3779,3410,11,17,188,0,82,71,0,71,"Sunderland School District, Massachusetts",17,148,17,22,104,127,63,62,127,62
