GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
G250003060225,2006-2010,,,Massachusetts,25,Berkshire County,3,Savoy town,60225,,,,,,,,,,,,,,,,,,,,,,,,,,,"Savoy town, Berkshire County, Massachusetts",747,737,0,0,0,0,0,10,10,0,"Savoy town, Berkshire County, Massachusetts",109,107,127,127,127,127,127,12,12,127
G250003061065,2006-2010,,,Massachusetts,25,Berkshire County,3,Sheffield town,61065,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheffield town, Berkshire County, Massachusetts",3261,3148,0,0,46,0,36,31,0,31,"Sheffield town, Berkshire County, Massachusetts",16,68,127,127,40,127,42,37,127,37
G250003067595,2006-2010,,,Massachusetts,25,Berkshire County,3,Stockbridge town,67595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stockbridge town, Berkshire County, Massachusetts",1671,1558,32,0,58,0,23,0,0,0,"Stockbridge town, Berkshire County, Massachusetts",302,285,46,127,92,127,39,127,127,127
G250003071095,2006-2010,,,Massachusetts,25,Berkshire County,3,Tyringham town,71095,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tyringham town, Berkshire County, Massachusetts",408,408,0,0,0,0,0,0,0,0,"Tyringham town, Berkshire County, Massachusetts",81,81,127,127,127,127,127,127,127,127
G250003073335,2006-2010,,,Massachusetts,25,Berkshire County,3,Washington town,73335,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington town, Berkshire County, Massachusetts",593,573,0,0,0,0,3,17,2,15,"Washington town, Berkshire County, Massachusetts",105,109,127,127,127,127,4,25,3,25
G250003077990,2006-2010,,,Massachusetts,25,Berkshire County,3,West Stockbridge town,77990,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Stockbridge town, Berkshire County, Massachusetts",1525,1473,8,0,0,0,0,44,0,44,"West Stockbridge town, Berkshire County, Massachusetts",164,135,12,127,127,127,127,67,127,67
G250003079985,2006-2010,,,Massachusetts,25,Berkshire County,3,Williamstown town,79985,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamstown town, Berkshire County, Massachusetts",7879,7078,160,0,461,0,57,123,0,123,"Williamstown town, Berkshire County, Massachusetts",26,251,112,127,167,127,73,105,127,105
G250003080685,2006-2010,,,Massachusetts,25,Berkshire County,3,Windsor town,80685,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windsor town, Berkshire County, Massachusetts",970,970,0,0,0,0,0,0,0,0,"Windsor town, Berkshire County, Massachusetts",133,133,127,127,127,127,127,127,127,127
G250005000000,2006-2010,,,Massachusetts,25,Bristol County,5,County subdivisions not defined,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"County subdivisions not defined, Bristol County, Massachusetts",0,0,0,0,0,0,0,0,0,0,"County subdivisions not defined, Bristol County, Massachusetts",127,127,127,127,127,127,127,127,127,127
G250005000520,2006-2010,,,Massachusetts,25,Bristol County,5,Acushnet town,520,,,,,,,,,,,,,,,,,,,,,,,,,,,"Acushnet town, Bristol County, Massachusetts",10288,9918,33,27,64,0,112,134,30,104,"Acushnet town, Bristol County, Massachusetts",28,216,36,45,74,127,115,142,48,132
