GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELM,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017
G25006900,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Lincoln School District,6900,,,,"Lincoln School District, Massachusetts",2778,44,44,11,11,28,100,88,23,63,154,312,169,359,207,264,901,"Lincoln School District, Massachusetts",139,43,44,17,18,32,76,55,28,69,76,117,86,119,82,97,169
G25007290,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Marion School District,7290,,,,"Marion School District, Massachusetts",1866,66,45,83,11,30,79,26,35,25,86,218,236,304,162,237,223,"Marion School District, Massachusetts",145,68,41,58,17,33,67,30,30,29,48,88,90,112,77,94,72
G25007470,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Mattapoisett School District,7470,,,,"Mattapoisett School District, Massachusetts",2663,97,116,50,48,92,135,84,87,81,193,187,575,214,179,214,311,"Mattapoisett School District, Massachusetts",136,85,64,38,43,56,86,70,62,57,88,78,197,96,81,104,130
G25007830,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Middleton School District,7830,,,,"Middleton School District, Massachusetts",2903,43,112,53,81,215,133,128,105,57,137,282,479,315,198,234,331,"Middleton School District, Massachusetts",203,42,73,45,54,121,117,84,78,49,71,103,155,114,107,90,102
G25008220,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Nahant School District,8220,,,,"Nahant School District, Massachusetts",1514,66,61,53,72,71,27,62,63,36,88,131,176,179,121,125,183,"Nahant School District, Massachusetts",125,67,46,37,46,54,25,43,54,33,55,58,65,61,56,56,80
G25008530,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,New Salem-Wendell School District,8530,,,,"New Salem-Wendell School District, Massachusetts",768,20,24,23,36,40,13,34,47,48,90,77,133,70,72,38,3,"New Salem-Wendell School District, Massachusetts",76,16,17,16,18,18,9,14,21,25,27,24,36,27,45,18,4
G25008640,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Norfolk School District,8640,,,,"Norfolk School District, Massachusetts",2695,89,24,41,52,59,32,34,74,61,99,154,365,348,350,409,504,"Norfolk School District, Massachusetts",408,56,25,34,63,43,29,27,51,34,59,64,119,106,105,108,128
G25008880,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Northborough School District,8880,,,,"Northborough School District, Massachusetts",5144,161,139,194,166,114,75,113,163,96,165,497,630,773,487,712,659,"Northborough School District, Massachusetts",189,82,55,81,87,71,47,63,85,62,76,118,136,147,115,178,122
G25009090,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Edgartown School District,9090,,,,"Edgartown School District, Massachusetts",1344,78,22,0,80,14,83,73,92,23,137,103,271,71,129,53,115,"Edgartown School District, Massachusetts",212,65,25,127,64,16,71,69,66,24,56,53,113,46,112,45,64
G25009180,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Orange School District,9180,,,,"Orange School District, Massachusetts",3322,247,305,286,115,210,245,225,126,170,375,488,255,114,125,24,12,"Orange School District, Massachusetts",157,127,119,116,68,108,101,107,64,71,135,114,97,63,89,27,17
G25009210,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Orleans School District,9210,,,,"Orleans School District, Massachusetts",3205,196,196,175,148,142,159,144,118,126,333,291,494,184,140,217,142,"Orleans School District, Massachusetts",231,186,98,84,79,73,74,89,70,80,121,107,124,63,75,77,73
G25009390,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Pelham School District,9390,,,,"Pelham School District, Massachusetts",542,6,9,18,12,17,0,16,32,19,42,69,132,31,24,64,51,"Pelham School District, Massachusetts",38,6,7,13,14,10,127,12,26,12,16,27,29,14,13,21,22
G25009540,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Petersham School District,9540,,,,"Petersham School District, Massachusetts",392,11,26,19,12,19,30,15,19,19,26,45,64,34,27,21,5,"Petersham School District, Massachusetts",44,17,17,11,8,15,15,14,12,12,12,17,21,21,13,12,6
G25009690,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Plainville School District,9690,,,,"Plainville School District, Massachusetts",3185,123,101,149,81,34,98,182,156,141,235,446,460,436,242,175,126,"Plainville School District, Massachusetts",190,65,57,74,47,33,62,133,109,66,121,141,135,132,97,74,69
G25009780,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Plympton School District,9780,,,,"Plympton School District, Massachusetts",907,50,22,29,13,5,0,16,27,50,70,72,247,103,65,69,69,"Plympton School District, Massachusetts",65,33,18,31,13,8,127,15,19,39,33,36,65,47,31,31,40
G25010080,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Richmond School District,10080,,,,"Richmond School District, Massachusetts",771,17,16,23,19,25,23,37,19,9,68,77,134,62,34,101,107,"Richmond School District, Massachusetts",55,12,10,17,12,15,15,19,15,8,32,29,28,21,18,33,31
G25010140,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Rochester School District,10140,,,,"Rochester School District, Massachusetts",1801,8,18,67,77,30,83,73,36,51,96,237,290,284,220,149,82,"Rochester School District, Massachusetts",98,14,15,50,75,23,40,51,26,36,48,71,91,94,85,72,42
G25010230,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Rowe School District,10230,,,,"Rowe School District, Massachusetts",183,2,11,8,13,21,16,8,0,8,25,25,13,15,10,3,5,"Rowe School District, Massachusetts",21,3,6,6,15,10,8,6,127,6,13,10,8,8,7,4,5
G25010530,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Savoy School District,10530,,,,"Savoy School District, Massachusetts",315,18,7,11,28,38,3,7,15,17,18,53,75,3,15,0,7,"Savoy School District, Massachusetts",41,12,8,10,21,20,5,7,10,13,14,23,31,5,11,127,7
G25010710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Sherborn School District,10710,,,,"Sherborn School District, Massachusetts",1449,31,12,22,11,31,17,24,29,37,30,61,168,96,121,171,588,"Sherborn School District, Massachusetts",80,30,20,26,16,48,19,24,30,27,27,44,78,59,54,75,118
G25010740,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Shirley School District,10740,,,,"Shirley School District, Massachusetts",2471,76,88,50,111,147,118,28,65,130,190,356,376,316,219,175,26,"Shirley School District, Massachusetts",199,61,72,49,111,108,101,31,58,109,99,156,146,141,94,85,34
G25010800,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Shutesbury School District,10800,,,,"Shutesbury School District, Massachusetts",746,30,14,8,19,37,29,22,34,46,63,68,119,79,58,72,48,"Shutesbury School District, Massachusetts",70,21,10,8,11,25,15,13,34,28,26,27,37,27,21,53,19
G25010950,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Southampton School District,10950,,,,"Southampton School District, Massachusetts",2259,39,134,72,43,94,27,67,96,85,185,200,462,396,166,85,108,"Southampton School District, Massachusetts",136,30,74,56,42,65,31,52,57,68,100,98,136,139,78,53,70
G25010980,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Southborough School District,10980,,,,"Southborough School District, Massachusetts",3183,83,55,44,40,95,25,0,58,187,98,244,314,304,302,513,821,"Southborough School District, Massachusetts",139,56,67,37,38,74,28,127,55,107,59,99,111,88,122,139,165
G25011310,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Sturbridge School District,11310,,,,"Sturbridge School District, Massachusetts",3528,204,116,161,170,44,57,86,166,193,160,444,432,566,257,264,208,"Sturbridge School District, Massachusetts",164,103,73,91,91,42,40,58,115,97,95,125,144,138,89,85,89
G25011340,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Sudbury School District,11340,,,,"Sudbury School District, Massachusetts",5364,162,80,10,125,84,93,79,30,78,198,225,426,508,620,948,1698,"Sudbury School District, Massachusetts",170,81,51,16,104,54,60,57,30,48,79,81,119,126,143,177,213
G25011370,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Sunderland School District,11370,,,,"Sunderland School District, Massachusetts",1531,66,104,144,49,120,28,42,132,81,115,196,184,134,43,45,48,"Sunderland School District, Massachusetts",124,51,71,82,44,71,31,35,71,52,73,83,75,57,37,41,60
G25011670,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Topsfield School District,11670,,,,"Topsfield School District, Massachusetts",1997,77,37,101,19,16,0,57,25,83,104,118,165,287,241,289,378,"Topsfield School District, Massachusetts",144,48,29,68,30,25,127,51,30,55,62,57,84,96,90,90,106
